State,ST,City ST,Lat,Lng,City
Alabama,AL,Hendrix AL,34.0382,-86.4533,Hendrix
Alabama,AL,Heron Bay AL,30.3546,-88.1303,Heron Bay
Alabama,AL,Highland Home AL,31.9535,-86.3139,Highland Home
Alabama,AL,Highland Lake AL,33.8876,-86.4244,Highland Lake
Alabama,AL,Hillsboro AL,34.6408,-87.1837,Hillsboro
Alabama,AL,Hissop AL,32.8746,-86.1159,Hissop
Alabama,AL,Hobson AL,31.4724,-88.1533,Hobson
Alabama,AL,Hobson City AL,33.6149,-85.856,Hobson City
Alabama,AL,Hodges AL,34.334,-87.9299,Hodges
Alabama,AL,Hokes Bluff AL,33.9902,-85.8639,Hokes Bluff
Alabama,AL,Hollins AL,33.1213,-86.129,Hollins
Alabama,AL,Hollis Crossroads AL,33.5231,-85.6437,Hollis Crossroads
Alabama,AL,Holly Pond AL,34.1696,-86.6125,Holly Pond
Alabama,AL,Hollywood AL,34.719,-85.965,Hollywood
Alabama,AL,Holt AL,33.2302,-87.4828,Holt
Alabama,AL,Holtville AL,32.6314,-86.3267,Holtville
Alabama,AL,Homewood AL,33.4617,-86.8092,Homewood
Alabama,AL,Honoraville AL,31.8507,-86.4061,Honoraville
Alabama,AL,Hoover AL,33.3761,-86.8065,Hoover
Alabama,AL,Horn Hill AL,31.2382,-86.3211,Horn Hill
Alabama,AL,Hueytown AL,33.4237,-87.0223,Hueytown
Alabama,AL,Huguley AL,32.843,-85.2394,Huguley
Alabama,AL,Hunter AL,32.3957,-86.3955,Hunter
Alabama,AL,Huntsville AL,34.699,-86.6412,Huntsville
Alabama,AL,Hurtsboro AL,32.2401,-85.4147,Hurtsboro
Alabama,AL,Huxford AL,31.2202,-87.4619,Huxford
Alabama,AL,Hybart AL,31.8265,-87.3819,Hybart
Alabama,AL,Hytop AL,34.9064,-86.0853,Hytop
Alabama,AL,Ider AL,34.7022,-85.6691,Ider
Alabama,AL,Indian Springs Village AL,33.3589,-86.7493,Indian Springs Village
Alabama,AL,Inverness AL,33.4071,-86.7111,Inverness
Alabama,AL,Irondale AL,33.544,-86.6599,Irondale
Alabama,AL,Isbell AL,34.4554,-87.7539,Isbell
Alabama,AL,Ivalee AL,34.0372,-86.1471,Ivalee
Alabama,AL,Jackson AL,31.5318,-87.8915,Jackson
Alabama,AL,Jacksons Gap AL,32.8831,-85.815,Jacksons Gap
Alabama,AL,Jacksonville AL,33.8084,-85.7544,Jacksonville
Alabama,AL,Jasper AL,33.8514,-87.2719,Jasper
Alabama,AL,Jemison AL,32.9696,-86.7339,Jemison
Alabama,AL,Jenifer AL,33.5493,-85.9364,Jenifer
Alabama,AL,Jones AL,32.584,-86.8975,Jones
Alabama,AL,Jones Chapel AL,34.2104,-87.052,Jones Chapel
Alabama,AL,Joppa AL,34.2982,-86.5506,Joppa
Alabama,AL,Kansas AL,33.9029,-87.5568,Kansas
Alabama,AL,Keener AL,34.1562,-85.9511,Keener
Alabama,AL,Kellyton AL,32.979,-86.0358,Kellyton
Alabama,AL,Kennedy AL,33.5809,-87.9862,Kennedy
Alabama,AL,Kent AL,32.619,-85.9486,Kent
Alabama,AL,Killen AL,34.8607,-87.5269,Killen
Alabama,AL,Kimberly AL,33.7758,-86.7971,Kimberly
Alabama,AL,Kimbrough AL,32.0335,-87.5653,Kimbrough
Alabama,AL,Kinsey AL,31.2926,-85.3354,Kinsey
Alabama,AL,Kinston AL,31.2199,-86.1704,Kinston
Alabama,AL,Knoxville AL,32.9923,-87.7906,Knoxville
Alabama,AL,Ladonia AL,32.4609,-85.0877,Ladonia
Alabama,AL,Lafayette AL,32.8997,-85.4007,Lafayette
Alabama,AL,Lake View AL,33.2816,-87.1386,Lake View
Alabama,AL,Lakeview AL,34.3917,-85.9757,Lakeview
Alabama,AL,Lamison AL,32.1213,-87.5667,Lamison
Alabama,AL,Land AL,32.0288,-88.3284,Land
Alabama,AL,Landersville AL,34.469,-87.4009,Landersville
Alabama,AL,Lanett AL,32.8572,-85.2082,Lanett
Alabama,AL,Langston AL,34.5374,-86.0899,Langston
Alabama,AL,Lawley AL,32.8596,-86.9514,Lawley
Alabama,AL,Leeds AL,33.5429,-86.5636,Leeds
Alabama,AL,Leesburg AL,34.1838,-85.7753,Leesburg
Alabama,AL,Lehigh AL,33.8543,-86.6839,Lehigh
Alabama,AL,Leighton AL,34.6986,-87.5291,Leighton
Alabama,AL,Leroy AL,31.4952,-87.969,Leroy
Alabama,AL,Lester AL,34.9877,-87.1515,Lester
Alabama,AL,Letohatchee AL,32.1296,-86.4858,Letohatchee
Alabama,AL,Level Plains AL,31.3071,-85.7687,Level Plains
Alabama,AL,Lexington AL,34.9652,-87.3735,Lexington
Alabama,AL,Libertyville AL,31.2428,-86.46,Libertyville
Alabama,AL,Lilita AL,32.4837,-88.1284,Lilita
Alabama,AL,Lillian AL,30.4122,-87.432,Lillian
Alabama,AL,Lim Rock AL,34.6723,-86.1883,Lim Rock
Alabama,AL,Lincoln AL,33.5935,-86.1372,Lincoln
Alabama,AL,Linden AL,32.3001,-87.7926,Linden
Alabama,AL,Lineville AL,33.3123,-85.7508,Lineville
Alabama,AL,Lipscomb AL,33.4261,-86.926,Lipscomb
Alabama,AL,Lisman AL,32.1792,-88.3002,Lisman
Alabama,AL,Little River AL,34.2815,-85.6733,Little River
Alabama,AL,Littleville AL,34.5951,-87.6719,Littleville
Alabama,AL,Livingston AL,32.5982,-88.1891,Livingston
Alabama,AL,Loachapoka AL,32.6049,-85.5948,Loachapoka
Alabama,AL,Lockhart AL,31.0128,-86.3505,Lockhart
Alabama,AL,Locust Fork AL,33.8957,-86.6302,Locust Fork
Alabama,AL,Lomax AL,32.879,-86.6608,Lomax
Alabama,AL,Long Island AL,34.9737,-85.6711,Long Island
Alabama,AL,Louisville AL,31.781,-85.5583,Louisville
Alabama,AL,Lowndesboro AL,32.2764,-86.6108,Lowndesboro
Alabama,AL,Loxley AL,30.6822,-87.7418,Loxley
Alabama,AL,Luverne AL,31.7186,-86.2687,Luverne
Alabama,AL,Lynn AL,34.0548,-87.5555,Lynn
Alabama,AL,Macedonia AL,33.4031,-88.2393,Macedonia
Alabama,AL,Madison AL,34.7113,-86.7617,Madison
Alabama,AL,Madrid AL,31.0358,-85.3979,Madrid
Alabama,AL,Magnolia Springs AL,30.4002,-87.7749,Magnolia Springs
Alabama,AL,Malcolm AL,31.1946,-88.0015,Malcolm
Alabama,AL,Malone AL,33.1987,-85.5841,Malone
Alabama,AL,Malvern AL,31.1428,-85.521,Malvern
Alabama,AL,Maplesville AL,32.7867,-86.8783,Maplesville
Alabama,AL,Marbury AL,32.6793,-86.4607,Marbury
Alabama,AL,Margaret AL,33.6735,-86.468,Margaret
Alabama,AL,Marion AL,32.6318,-87.3172,Marion
Alabama,AL,Marion Junction AL,32.4374,-87.2389,Marion Junction
Alabama,AL,Marvel AL,33.1468,-87.003,Marvel
Alabama,AL,Maylene AL,33.2034,-86.8617,Maylene
Alabama,AL,Maytown AL,33.5489,-86.9999,Maytown
