Date Submitted,Date of Sighting,City,ST,Short Description
4/23/2018,3/6/2018,Pomona, CA,"{rjl} Bright red orb, sphere in shape above a home."
4/15/2018,3/26/2018,San Jose, CA,{cak} explosion so loud we thought a car hit our house.
4/13/2018,3/25/2018,Newport Beach, CA,{td} Please look at pictures. I am very busy
3/30/2018,3/30/2018,Oakland, CA,{td} Very fluid object with light keeping a steady pace zoomed above the valley near my house
3/30/2018,3/29/2018,Pacific Grove, CA,{td} Bright flashing burst of light at high elevation moving west to east with slight changed of direction
3/29/2018,3/29/2018,Pitsburgh, CA,"{td} The UFO flew over the house, then headed for my mom and I."
3/27/2018,3/27/2018,Desert hot springs , CA,{td} Traveling through desert Hot Springs and went to a view and recorded ufo
3/25/2018,3/25/2018,Daly City, CA,All day long appears and disapear
3/25/2018,3/24/2018,Eagle Rock, CA,"{td} I noticed it in photo seconds after taking the photo. I never saw it, heard it. Turns out my photo has a split second of video and it covers a ton of ground in the split second."
3/25/2018,3/24/2018,Merced, CA,"{td}The extraordinary bright light descended from the West heading East under the cloud cover, later to ascend at unprecedented speeds to the North. Vanishing in the stars."
3/22/2018,3/22/2018,Orange, CA,{rjl} fast moving ufo hovering and changing direction
3/21/2018,3/20/2018,Palm Desert, CA,{rjl} At night in cloud cover 5 lights moved around in circle then all went to center then moved out and returned in circular pattern.
3/21/2018,3/15/2018,Santee, CA,{rjl} Bright light.
3/18/2018,3/18/2018,Fontana CA, CA,"{rjl} A black, dull hovering object was seen circling around a certain place in San Bernardino county"
3/18/2018,3/17/2018,Ontario , CA,{rjl} Viewed while traveling on the 15 near Ontario airport mountains were behind sighting
3/18/2018,3/17/2018,CA, US,{rjl} Six UFOs flying in formation
3/15/2018,3/13/2018,Potter Valley , CA,{cak} Ok was working i the hills cleaning up fire debris when working out doors look up when i see a chemtrail plane go over head.Well this time it had a yellow object following trailing if it then i flashed and it was GONE
3/15/2018,3/13/2018,Escalon , CA,"{cak} Multi colored object darting up,down,left,right in no obvious set routes and stayed for hou"
3/14/2018,3/11/2018,Hayward, CA,"{cak} Wheel-type UFO with pulsating/morphing glowing center in Hayward, Ca."
3/13/2018,3/12/2018,Los Angeles, CA,{cak} Very large as evidenced by spacing of lights. View magnified image
3/13/2018,3/12/2018,valencia, CA,{cak} My ex husband saw these and our son sent them to me
3/11/2018,3/6/2018,Escondido, CA,{cak} 2 bright lights traveled north & hovered over me never then went west.
3/9/2018,3/8/2018,Oceanside,CA,"{jpg} Unkown object travels in from the south and stops,then goes north"
3/7/2018,3/7/2018,Trabuco, CA,{jpg} I was sitting with my mothers caregiver in the livingroom. It was about 12:30am I looked up at the skylight to see the stars now and again. I looked up and saw a white orb-like object slowly moving north. It looked like the size of a basketball.
