State,Month,Count
OK,"Aug, 2018",2
OK,"Sep, 2018",1
OK,"Oct, 2018",6
OK,"Nov, 2018",5
OK,"Dec, 2018",4
OK,Total,45
OR,"Jan, 2018",9
OR,"Feb, 2018",4
OR,"Mar, 2018",5
OR,"Apr, 2018",3
OR,"May, 2018",10
OR,"Jun, 2018",11
OR,"Jul, 2018",20
OR,"Aug, 2018",10
OR,"Sep, 2018",18
OR,"Oct, 2018",7
OR,"Nov, 2018",11
OR,"Dec, 2018",4
OR,Total,112
PA,"Jan, 2018",15
PA,"Feb, 2018",10
PA,"Mar, 2018",13
PA,"Apr, 2018",10
PA,"May, 2018",8
PA,"Jun, 2018",15
PA,"Jul, 2018",19
PA,"Aug, 2018",15
PA,"Sep, 2018",14
PA,"Oct, 2018",11
PA,"Nov, 2018",12
PA,"Dec, 2018",9
PA,Total,151
RI,"Jan, 2018",0
RI,"Feb, 2018",0
RI,"Mar, 2018",0
RI,"Apr, 2018",0
RI,"May, 2018",0
RI,"Jun, 2018",1
RI,"Jul, 2018",1
RI,"Aug, 2018",1
RI,"Sep, 2018",1
RI,"Oct, 2018",1
RI,"Nov, 2018",0
RI,"Dec, 2018",1
RI,Total,6
SC,"Jan, 2018",6
SC,"Feb, 2018",2
SC,"Mar, 2018",2
SC,"Apr, 2018",6
SC,"May, 2018",4
SC,"Jun, 2018",5
SC,"Jul, 2018",2
SC,"Aug, 2018",5
SC,"Sep, 2018",5
SC,"Oct, 2018",3
SC,"Nov, 2018",0
SC,"Dec, 2018",4
SC,Total,44
SD,"Jan, 2018",2
SD,"Feb, 2018",0
SD,"Mar, 2018",0
SD,"Apr, 2018",1
SD,"May, 2018",1
SD,"Jun, 2018",1
SD,"Jul, 2018",0
SD,"Aug, 2018",0
SD,"Sep, 2018",1
SD,"Oct, 2018",1
SD,"Nov, 2018",1
SD,"Dec, 2018",0
SD,Total,8
TN,"Jan, 2018",4
TN,"Feb, 2018",3
TN,"Mar, 2018",6
TN,"Apr, 2018",7
TN,"May, 2018",11
TN,"Jun, 2018",5
TN,"Jul, 2018",7
TN,"Aug, 2018",5
TN,"Sep, 2018",8
TN,"Oct, 2018",6
TN,"Nov, 2018",3
TN,"Dec, 2018",5
TN,Total,70
TX,"Jan, 2018",18
TX,"Feb, 2018",12
TX,"Mar, 2018",21
TX,"Apr, 2018",23
TX,"May, 2018",25
TX,"Jun, 2018",19
TX,"Jul, 2018",26
