Word,Count,ST
sky,24,NY
lights,22,NY
object,19,NY
bright,18,NY
white,14,NY
hovering,13,NY
moving,13,NY
ufo,11,NY
north,10,NY
shape,10,NY
observed,10,NY
south,8,NY
glowing,8,NY
appeared,8,NY
slowly,7,NY
shaped,7,NY
large,7,NY
orb,7,NY
took,7,NY
objects,7,NY
direction,6,NY
red,6,NY
sky,6,NY
hovered,6,NY
lights,31,OH
light,29,OH
bright,26,OH
white,17,OH
sky,15,OH
object,14,OH
moving,14,OH
red,12,OH
hovering,10,OH
large,9,OH
orb,8,OH
outside,8,OH
star,7,OH
shaped,7,OH
flying,7,OH
glowing,7,OH
disappeared,7,OH
appeared,7,OH
triangle,6,OH
took,6,OH
saw,6,OH
thought,6,OH
low,6,OH
craft,6,OH
seconds,6,OH
light,10,OK
object,7,OK
lights,5,OK
outside,5,OK
area,5,OK
bright,4,OK
fast,4,OK
orb,4,OK
hovering,4,OK
just,4,OK
glowing,4,OK
appeared,4,OK
white,4,OK
triangle,3,OK
slowly,3,OK
large,3,OK
hours,3,OK
went,3,OK
black,3,OK
sky,3,OK
objects,3,OK
moon,3,OK
area,3,OK
smoke,2,OK
flashing,2,OK
light,29,OR
bright,19,OR
object,19,OR
sky,18,OR
white,15,OR
lights,11,OR
moving,11,OR
appeared,10,OR
red,10,OR
moved,8,OR
hovered,7,OR
flew,7,OR
noticed,7,OR
craft,7,OR
triangle,7,OR
objects,7,OR
ufo,7,OR
shaped,6,OR
high,6,OR
straight,6,OR
looking,6,OR
orange,5,OR
green,5,OR
came,5,OR
shape,5,OR
object,29,PA
lights,22,PA
sky,28,PA
bright,20,PA
light,20,PA
moving,16,PA
moved,15,PA
hovering,14,PA
appeared,12,PA
white,11,PA
red,11,PA
observed,11,PA
flying,10,PA
ufo,9,PA
shape,9,PA
orb,9,PA
took,8,PA
objects,8,PA
south,8,PA
disappeared,8,PA
high,8,PA
window,7,PA
hover,7,PA
noticed,7,PA
star,6,PA
sleep,5,RI
trees,2,RI
photo,2,RI
object,1,RI
space,1,RI
flashed,1,RI
twice,1,RI
degree,1,RI
turn,1,RI
flew,1,RI
watching,1,RI
movie,1,RI
humanity,1,RI
documentary,1,RI
meditated,1,RI
night,1,RI
thing,1,RI
fall,1,RI
end,1,RI
paralysis,1,RI
bright,1,RI
flash,1,RI
lights,1,RI
circled,1,RI
abruptly,1,RI
object,15,SC
sky,7,SC
bright,7,SC
moving,6,SC
light,6,SC
white,6,SC
came,6,SC
got,4,SC
red,4,SC
black,4,SC
orbs,4,SC
different,3,SC
direction,3,SC
took,3,SC
orange,3,SC
lights,3,SC
clouds,3,SC
looked,3,SC
steady,3,SC
photos,3,SC
observed,3,SC
glowing,3,SC
disappeared,3,SC
objects,3,SC
random,3,SC
ships,2,SD
driving,1,SD
girl,1,SD
friend,1,SD
home,1,SD
flew,1,SD
past,1,SD
shat,1,SD
pants,1,SD
green,1,SD
minutes,1,SD
left,1,SD
brighter,1,SD
rabbit,1,SD
died,1,SD
scary,1,SD
beams,1,SD
appeared,1,SD
security,1,SD
camera,1,SD
hovering,1,SD
moved,1,SD
up,1,SD
showed,1,SD
closer,1,SD
light,21,TN
object,19,TN
sky,15,TN
bright,12,TN
lights,10,TN
night,7,TN
took,7,TN
noticed,7,TN
moved,6,TN
hovering,6,TN
black,6,TN
moving,6,TN
flying,6,TN
low,6,TN
beam,5,TN
observed,5,TN
appeared,5,TN
ufo,4,TN
house,4,TN
glowing,4,TN
east,4,TN
objects,4,TN
looking,4,TN
shape,4,TN
south,4,TN
object,45,TX
moving,35,TX
light,33,TX
sky,31,TX
bright,29,TX
white,28,TX
lights,25,TX
ufo,19,TX
hovering,18,TX
took,15,TX
objects,14,TX
noticed,13,TX
fast,13,TX
shape,12,TX
orb,12,TX
moved,12,TX
star,12,TX
saw,12,TX
flying,11,TX
west,11,TX
glowing,11,TX
high,11,TX
speed,11,TX
observed,10,TX
shaped,10,TX
lights,9,UT
sky,8,UT
white,6,UT
flying,6,UT
object,6,UT
light,5,UT
night,5,UT
stopped,4,UT
camera,4,UT
moving,4,UT
shape,4,UT
ship,4,UT
noticed,4,UT
thought,4,UT
disappeared,3,UT
house,3,UT
observed,3,UT
black,3,UT
blue,3,UT
flew,3,UT
followed,3,UT
appeared,3,UT
west,3,UT
slowly,2,UT
straight,2,UT
light,14,VA
sky,11,VA
object,10,VA
lights,8,VA
ufo,7,VA
bright,7,VA
driving,6,VA
glowing,5,VA
direction,5,VA
straight,5,VA
observed,5,VA
appeared,4,VA
triangle,4,VA
white,4,VA
looking,4,VA
home,4,VA
south,4,VA
large,4,VA
flying,4,VA
moving,4,VA
photo,3,VA
red,3,VA
orb,3,VA
north,3,VA
flash,3,VA
triangle,1,VT
ufo,1,VT
white,1,VT
lights,1,VT
pulsing,1,VT
red,1,VT
light,1,VT
rapid,1,VT
forth,1,VT
movement,1,VT
directions,1,VT
appeared,1,VT
come,1,VT
directly,1,VT
observers,1,VT
brightening,1,VT
size,1,VT
growth,1,VT
naked,1,VT
eye,1,VT
camera,1,VT
taking,1,VT
pics,1,VT
sun,1,VT
setting,1,VT
object,33,WA
bright,28,WA
light,27,WA
lights,26,WA
white,23,WA
moving,16,WA
red,14,WA
orange,12,WA
moved,12,WA
took,12,WA
sky,12,WA
orb,11,WA
ufo,10,WA
west,9,WA
noticed,8,WA
hovering,8,WA
east,8,WA
slowly,8,WA
speed,8,WA
north,8,WA
large,8,WA
disappeared,8,WA
video,7,WA
south,7,WA
triangle,7,WA
object,15,WI
light,10,WI
lights,9,WI
star,7,WI
ufo,6,WI
white,6,WI
flashing,5,WI
right,5,WI
red,5,WI
orb,5,WI
hovering,5,WI
large,5,WI
stationary,4,WI
bright,4,WI
sky,4,WI
moon,4,WI
saw,4,WI
glowing,4,WI
flying,4,WI
helicopter,3,WI
blue,3,WI
moving,3,WI
slow,3,WI
black,3,WI
shaped,3,WI
lights,7,WV
light,6,WV
object,6,WV
red,5,WV
bright,4,WV
pictures,4,WV
appeared,4,WV
white,3,WV
taking,3,WV
slowly,3,WV
black,3,WV
moon,3,WV
two,2,WV
shaped,2,WV
hovering,2,WV
sky,2,WV
flashing,2,WV
stationary,2,WV
took,2,WV
reflection,2,WV
sun,2,WV
surface,2,WV
yellow,2,WV
triangle,2,WV
disc,1,WV
sky,3,WY
blue,2,WY
glowing,2,WY
orb,2,WY
reflecting,1,WY
light,1,WY
sunset,1,WY
takening,1,WY
star,1,WY
trails,1,WY
camera,1,WY
photoed,1,WY
took,1,WY
object,1,WY
fireball,1,WY
explodes,1,WY
cuts,1,WY
perfect,1,WY
sinc,1,WY
going,1,WY
left,1,WY
right,1,WY
quickly,1,WY
noise,1,WY
brighter,1,WY
