,Date Submitted,Date/Time,Short Description,Location of Event,Long Description,Attachments
,,of Event,,,,
,,6:00PM,,,,
42,1/2/2018,1/1/2018,"{dr}from 2nd story balconey red lights against mountain up down upn down. very very fast moved, thn back over houses","sylmar, CA, US",,
,,12:00AM,,,,
43,1/1/2018,1/1/2018,{dr}hovering orb. jagged movement. disappeared into the sky... reduced in size then poof,"bell gardens , CA, US",,
,,12:00AM,,,,
44,1/1/2018,1/1/2018,{dr}Flying then split into two.,"Eureka, CA, US",,
,,3:30AM,,,,
1,11/28/2018,2/13/2018,"{tjd} I was observing the night sky , i seen a strange light flickering bright white lights and started so I decided to start rec object that was shaped triangular dropped into Earth's atmosphere .","Oceanside, CA, US",,VID2018102221004994699.mp4
,,7:30PM,,,,
2,7/14/2018,2/12/2018,{jpg} Saw flashing light with no sound. Forgot about it until looking through phone photos,"Citrus Heights , CA, US",,0870F1BED4364281A58A0C7259BA0FDA.MOV
,,8:49PM,,,,453BCCF893484BF1B8600208277CBFE2.jpeg
,,,,,,B8471338E4B24177BDA0C6DB801A54A7.jpeg
,,,,,,C77E6EFFFB7146ACBF89FA1FE79366C6.jpeg
,,,,,,9CD3D963B262486EAF287F5DC62E08F8.jpeg
,,,,,,C7796DAD5C1C4127B3D340FB25CEBE79.jpeg
,,,,,,D889AD6BA993422594C28293C70549E9.jpeg
3,5/13/2018,2/14/2018,{cak} Sereal... Having a conversation with my wife on the patio. When we noticed the object.,"Brea , CA, US",,20180425212640001.mp4
,,12:00AM,,,,
4,3/25/2018,2/1/2018,{td}Unknown flying objiect in pano photo,"Mill Valley, CA, US",,224754C05F924331A27001929630E197.jpeg
,,12:00AM,,,,
5,3/20/2018,2/2/2018,{rjl} GUARDING PARKING STRUCTURE WHILE POSTED ON TOP FLOOR,"BURBANK, CA, US",,
,,12:00AM,,,,
6,3/19/2018,2/11/2018,{rjl} 4-5 orbs in,"San Francisco, CA, US",,
,,10:30PM,,,,
7,3/19/2018,2/6/2018,{rjl} Night shooting driveby without anyone seeing me use camera,"Prunedale, CA, US",,Screenshot20180318192358.png
,,9:02AM,,,,Screenshot20180318065248.png
,,,,,,Screenshot20180318065940.png
,,,,,,Screenshot20180313102447.png
,,,,,,Screenshot20180314030427.png
8,2/25/2018,2/10/2018,"{td}Saw 5 orb type UFOs, the big one I’m reporting flew right over my head, got photos","Fort Bragg , CA, US",,4FB99C7C9DC241548D41DE7A7B826037.jpeg
,,7:01PM,,,,499754F2AA624296A762C6FBEE887101.jpeg
,,,,,,A13D77CB3E514235A85C972F9E645362.jpeg
,,,,,,F1F2878D92E6465381F10F6BAFEEA893.jpeg
,,,,,,FAA6EA7EA6D04CD691CBAE54E577E2B6.jpeg
9,2/23/2018,2/13/2018,{rjl} Just Saw lights,"Redding, CA, US",,
,,11:04PM,,,,
10,2/22/2018,2/3/2018,"{rjl} Brightly flashing primary colors, no discernable shape, Estimated Magnitude -5 or more","Port Hueneme, CA, US",,
,,11:45PM,,,,
11,2/20/2018,2/14/2018,{rjl} friend and i saw something in corner of eye one poped up then alot came from behind trees in distance,"clovis , CA, US",,IMG0789.mp4
,,12:00AM,,,,ScreenRecording01292018173504.MP4
12,2/20/2018,2/1/2018,{rjl Attached is a picture (one of many) that I took during the Eclipse on February 1 2018.. please let me know what I captured..ASAP..Thank You..,"Nice, CA, US",,IMG20180131014449048.jpg
,,1:44AM,,,,IMG20180131021613.jpg
,,,,,,IMG20180131011854.jpg
,,,,,,IMG20180131005908.jpg
,,,,,,IMG20180131021735.jpg
13,2/16/2018,2/15/2018,{cak} looking at a bright,"Napa, CA, US",,
,,7:10PM,,,,
