City ST,City,ST,State,Lat,Lng,,,,
Ada KS,Ada,KS,Kansas,39.1621,-97.886,,,,
Adair IL,Adair,IL,Illinois,40.4183,-90.4974,,,,
Adair IA,Adair,IA,Iowa,41.5004,-94.6434,,,,
Adair OK,Adair,OK,Oklahoma,36.4366,-95.2727,,,,
Adair Village OR,Adair Village,OR,Oregon,44.6708,-123.2158,,,,
Adairsville GA,Adairsville,GA,Georgia,34.3702,-84.9214,,,,
Adairville KY,Adairville,KY,Kentucky,36.671,-86.8561,,,,
Adams WI,Adams,WI,Wisconsin,43.9554,-89.8169,,,,
Adams ND,Adams,ND,North Dakota,48.4202,-98.0737,,,,
Adams NE,Adams,NE,Nebraska,40.4572,-96.5127,,,,
Adams TN,Adams,TN,Tennessee,36.5824,-87.0628,,,,
Adams NY,Adams,NY,New York,43.8102,-76.023,,,,
Adams IN,Adams,IN,Indiana,39.3825,-85.56,,,,
Adams OK,Adams,OK,Oklahoma,36.7564,-101.0771,,,,
Adams MA,Adams,MA,Massachusetts,42.6277,-73.1187,,,,
Adams MN,Adams,MN,Minnesota,43.5654,-92.7189,,,,
Adams MS,Adams,MS,Mississippi,32.1599,-90.5607,,,,
Adams KY,Adams,KY,Kentucky,38.0545,-82.7077,,,,
Adams OR,Adams,OR,Oregon,45.7663,-118.5642,,,,
Adams Center NY,Adams Center,NY,New York,43.8616,-76.0001,,,,
Adams City CO,Adams City,CO,Colorado,39.8267,-104.9289,,,,
Adamsburg PA,Adamsburg,PA,Pennsylvania,40.3124,-79.6542,,,,
Adamstown PA,Adamstown,PA,Pennsylvania,40.2417,-76.0608,,,,
Adamstown MD,Adamstown,MD,Maryland,39.3065,-77.4668,,,,
Adamsville TX,Adamsville,TX,Texas,31.3013,-98.1689,,,,
Adamsville TN,Adamsville,TN,Tennessee,35.256,-88.3864,,,,
Adamsville PA,Adamsville,PA,Pennsylvania,41.5113,-80.3707,,,,
Adamsville AL,Adamsville,AL,Alabama,33.6064,-86.9745,,,,
Adamsville OH,Adamsville,OH,Ohio,40.0689,-81.8826,,,,
Adamsville UT,Adamsville,UT,Utah,38.2583,-112.7938,,,,
Adario OH,Adario,OH,Ohio,40.9345,-82.4502,,,,
Addicks TX,Addicks,TX,Texas,29.7825,-95.6424,,,,
Addie NC,Addie,NC,North Carolina,35.4059,-83.1599,,,,
Addieville IL,Addieville,IL,Illinois,38.3913,-89.4868,,,,
Addington OK,Addington,OK,Oklahoma,34.2431,-97.9661,,,,
Addis LA,Addis,LA,Louisiana,30.3652,-91.2659,,,,
Addison TX,Addison,TX,Texas,32.9587,-96.8356,,,,
Addison NY,Addison,NY,New York,42.1063,-77.232,,,,
Addison PA,Addison,PA,Pennsylvania,39.7452,-79.3344,,,,
Addison AL,Addison,AL,Alabama,34.2017,-87.1765,,,,
Addison IL,Addison,IL,Illinois,41.9314,-88.0086,,,,
Addison ME,Addison,ME,Maine,44.6184,-67.7442,,,,
Addison OH,Addison,OH,Ohio,38.8862,-82.1463,,,,
Addison MI,Addison,MI,Michigan,41.9862,-84.3493,,,,
Addy WA,Addy,WA,Washington,48.3588,-117.8372,,,,
Addyston OH,Addyston,OH,Ohio,39.137,-84.7103,,,,
Adel GA,Adel,GA,Georgia,31.1316,-83.4249,,,,
Adel IA,Adel,IA,Iowa,41.6122,-94.0136,,,,
Adel OR,Adel,OR,Oregon,42.1774,-119.8986,,,,
Adelaide WA,Adelaide,WA,Washington,47.3309,-122.3604,,,,
Adelanto CA,Adelanto,CA,California,34.5868,-117.4411,,,,
Adeline IL,Adeline,IL,Illinois,42.1405,-89.4919,,,,
