state_long,state_short,city_state,mj_legal,lat,long,sighting_date,short_description,,
Pennsylvania,PA,Allentown PA,Yes,40.5962,-75.4756,11/8/2018,{rjl} The ufo was white was hovering and then fell slowly in two different locations,,
Nebraska,NE,Alliance NE,No,42.1021,-102.8768,6/2/2018,{cak} looked about the size of Jupiter in the sky to the right of it about the with of a hand then dimmed like moving away.,,
Nebraska,NE,Alliance NE,No,42.1021,-102.8768,8/23/2018,"{rjl} White, orange colored lights surround a cigar shaped object.",,
Arkansas,AR,Alma AR,Yes,35.4914,-94.2183,3/24/2018,{td} green ball of light,,
Michigan,MI,Alpena MI,Yes,45.0745,-83.4383,2/13/2018,{cak} Flashing yellow light took indirect path NE to SW while circling twice.,,
Michigan,MI,Alpena MI,Yes,45.0745,-83.4383,7/10/2018,{rjl} glowing pulsating elliptical craft top orangish bottom whitish pulsating high/low colors in sync.,,
Utah,UT,Altamont UT,Yes,40.3586,-110.2886,9/1/2018,{jpg} Appeared to be at least 12 different objects in the sky are communicating with one ship that would jump from one place to the sky when it stopped lightly light ships would approach it Causing area on the ground to go completely black,,
Florida,FL,Altamonte springs FL,Yes,28.6616,-81.395,9/1/2018,{jpg} Move right leaving trail in sky then hover before move left .,,
Florida,FL,Altamonte Springs FL,Yes,28.6616,-81.395,9/5/2018,"{rjl} Sphere elevating, hovering, stopped in the air then accelerated very quickly.",,
New Mexico,NM,Alto NM,Yes,33.3987,-105.6808,9/4/2018,{cak} See photos,,
Florida,FL,Altoona FL,Yes,28.9681,-81.6482,2/19/2018,{rjl} Lights and brown-out throughout the whole county then large city-like ship quickly disappears,,
Texas,TX,Alvin TX,No,29.382,-95.2924,3/30/2018,{td} Objects seen after taking pictures in trees and sky also on top one the home.,,
Texas,TX,Amarillo TX,No,35.1999,-101.8297,5/20/2018,{rjl} Observed a white star-like object moving across the sky at a low altitude,,
Texas,TX,Amarillo TX,No,35.1999,-101.8297,7/5/2018,{dr}Observation of lights,,
Texas,TX,Amarillo TX,No,35.1999,-101.8297,7/9/2018,{cak} They following me,,
Texas,TX,Amarillo TX,No,35.1999,-101.8297,7/14/2018,"{jpg} metallic object appeared to floating, rotating and ascended straight up through cloud",,
California,CA,American Canyon CA,Yes,38.1798,-122.2583,11/29/2018,{tjd} I was working outside on fence and looked up and saw about three sphere shaped objects moving in various areas. noticed they were close to each other. stopped this report to got outside and saw 10 more traveling to different locations.,,
Georgia,GA,Americus GA,No,32.0737,-84.2248,4/18/2018,{cak} My wife and I observed upwards of 10 UFOs of various types between 21:30 & 12:00am on 4.18.2018,,
California,CA,Anaheim CA,Yes,33.839,-117.8572,7/6/2018,{cak} Hidden in the clouds just west of Disneyland,,
California,CA,Anaheim CA,Yes,33.839,-117.8572,7/22/2018,{cak} Saw 5 glowing triangles flying in formation going westbound. Lead triangle switched places with triangle behind right hand side & then they vanished.,,
California,CA,Anaheim CA,Yes,33.839,-117.8572,8/10/2018,"{jpg} The UFO was above me with muted flashing red and blue rectangle lights, it flew slowly, made circles, then ascended straight up until I could no longer see the lights.",,
Kentucky,KY,Anchorage KY,No,38.2689,-85.5364,1/7/2018,"{cak} I looked up in the sky because I saw a very large bright white light. I watched it for a few seconds because I was trying to figure out which star it was or verify it was an airplane. Then, it blinked once, and went back into space.",,
California,CA,Anderson CA,Yes,40.4509,-122.2961,9/10/2018,{cak} 2 floating horizontal bars with separate distinct lights that changed as they moved,,
California,CA,Anderson CA,Yes,40.4509,-122.2961,11/1/2018,{tjd} An orange yellow light very high zig zagging going fast slow like how a bee fly's.,,
Indiana,IN,Anderson IN,No,40.0875,-85.6921,7/8/2018,"{jpg} 19 identical objects & flight path over about 20 minutes. Rose above trees, turned, disappeared.",,
Texas,TX,Andrews TX,No,32.3211,-102.5522,6/22/2018,{rjl} Daughter and I observed cross-like UFO moving fast through eastern and northern sky with directional changes,,
California,CA,Angels Camp CA,Yes,38.0683,-120.5396,9/16/2018,Bright light appeared out of nowhere while sun was going down,,
Texas,TX,Angleton TX,No,29.1689,-95.4288,11/3/2018,"{tjd} Loud trumpet noise, lost electricity 10 seconds, two bright lights in sky hovering for about 10 minutes.",,
Illinois,IL,Anna IL,Yes,37.4612,-89.2388,3/7/2018,{jpg} I noticed a orange light slowly Moving across the sky. It changed course & disappeared when I tried to photograph it,,
Wisconsin,WI,Antigo WI,No,45.1409,-89.1551,11/16/2018,{cak} areal observation of several objects I believe to be craft,,
