,Date Submitted,Date of Sighting,City,ST,Short Description
147,1/14/2018,1/13/2018,Indianapolis , IN,{rjl} Saw slower than typical commercial airline size v formation of lights at low lever slightly yawing before staying straight saw from I69 and 82nd Street Indy
148,1/29/2018,1/13/2018,Lewistown, MT,"{dr}disc shaped, with box like top"
149,1/15/2018,1/13/2018,Medford, OR,{rjl} I saw an orange orb. Suddenly very bright white orb shows up next to it out of nowhere
150,1/15/2018,1/13/2018,Austin, TX,{rjl} I was flowing in the air. One on each side of me.
151,10/24/2018,1/13/2018,Channelview, TX,{cak} UFO was a Y shaped object with about 5-7 yellow-orange lights. The lights started disappearing one by one as soon as I got out of the car to get a better look.
152,1/15/2018,1/13/2018,Capon Bridge, WV,{rjl} 4 lights that emitted material from them
153,1/14/2018,1/14/2018,Catalina, CA,{rjl} Was photographing the sunset. Saw lights that looked like red airplane lights however moved too quickly and no thanks in a flight pattern. Then moved towards the east unlike typical plane and moved too quickly although not so fast
154,1/14/2018,1/14/2018,Chula vista, CA,{rjl} bright yellow red large golf ball shape moving in a line east and disappeared in thin air
155,1/15/2018,1/14/2018,crescent, CA,"{rjl} observed one coming over horizon followed by 3 more then ascend then more coming over horizon then ascend also several more same but in different areas , see pics"
156,1/14/2018,1/14/2018,Astor, FL,"{rjl} I awoke to a bright beam of light outside, I opened the door to look up, as I thought it might be a helicopter. When I stepped out I followed the beam and looked behind me, and it came from way above the clouds, it was almost like a enormous"
157,1/15/2018,1/14/2018,Doraville, GA,"{rjl} looked out window saw a very large white object, jets around and noisy"
158,1/15/2018,1/14/2018,Dallas, TX,{rjl} Seen it flying then hover then let off a big bright light for maybe 10 seconds then proceeded to continue to come my way which is west
159,1/18/2018,1/14/2018,Bow hill, WA,{rjl} Took 30 second shutter speed picture. Object puttered by like a jet son mobile.
160,2/15/2018,1/15/2018,Fort Myers, FL,{cak} Hovering then use beam to draw one t shape on top of another t-shirt
161,1/15/2018,1/15/2018,Warner robins, GA,{rjl} Very bright orange light hovering in nw. Couldn't tell the altitude but appeared over tree line. It disappeared and reappears just above the horizon some distance away. Driving home I saw what looked like a satellite but was moving very fast east to
162,1/15/2018,1/15/2018,Metairie, LA,{rjl} Loud aircraft hovering above home then passing.
163,11/1/2018,1/15/2018,Detroit, MI,{tjd} Pulled inside gate of apartment complex and saw a large reddish light coming toward witness.
164,1/15/2018,1/15/2018,whitefish, MT,{rjl} SR-72? AURORA? PULSE JET TECH.? PULSE DETONATION ENG?
165,1/15/2018,1/15/2018,Ocracoke, NC,"{rjl} taking walk saw intensely bright yellowish light which disappeared, poof after 1 second"
166,1/19/2018,1/15/2018,Eatonville, WA,"Sphere of light, zig-zagged up and down as it moved from East to SW in the forest."
167,4/18/2018,1/15/2018,Glacier, WA,{cak} V-shaped UFO
168,2/4/2018,1/15/2018,Snoqualmie Pass, WA,"{jpg} Dark super long needle like UFO, looked miles long, was dark during day invisible, and left smoke trails video recorded"
169,1/17/2018,1/16/2018,Somerville, AL,"{rjl} triangular shape, 3 lights blinking with 4th red light, low flying, very quiet"
170,1/16/2018,1/16/2018,Clearwater, FL,{rjl} I was trying to capture an ultralight realized after I captured an orb over the ocean in Clearwater at precisely 2:34 to 2:35 pm
171,1/21/2018,1/16/2018,Chicago, IL,"{jpg} falling green object, maybe like a star, that glowed white"
172,1/17/2018,1/16/2018,Auburn, ME,{rjl} fury ape like thing that stunk really bad
173,1/16/2018,1/16/2018,Canton, OH,{rjl} From highway saw large green teardrop shape fall from sky. Drove by again and saw nothing.
174,1/11/2019,1/16/2018,Woodward , OK,{cak} Object was being transported out of area and very heavily guarded by several government vehicles and every law enforcement in the area.
175,1/23/2018,1/16/2018,Greenwater, WA,{jpg} Filmed a music video in near Mt. Rainier only to later discover massive ufo traffic in the footage
176,2/17/2018,1/17/2018,Oakland, CA,{cak} Moorish alien or Pleiades entity Speaks English And is attached to my body aura it wont go away
177,1/22/2018,1/17/2018,Morrison, CO,{jpg} Submitting on behalf of a friend who would like to remain anonymous
178,1/29/2018,1/17/2018,Key Largo, FL,{dr}I love to take pics of sunsets. I was heading north out of the keys and took two I've of the red sunset above the water. Today as I was posting pics. I was surprised to see this round object w five lights above the water.
179,1/18/2018,1/17/2018,Fort Mitchell , KY,"{rjl} Bright, close blue green fireball"
