,Date Submitted,Date of Sighting,City,ST,Short Description
1601,6/20/2018,6/20/2018,Pasco, WA,"{rjl} Black ball appeared, hovered and disappeared"
1602,6/21/2018,6/21/2018,Dome city, AZ,{rjl} Driving east on the 8 and on the left of the highway (north) there was a floating white/silver oval . Stayed stationary/ was moving slowly.
1603,6/21/2018,6/21/2018,Moreno Valley, CA,"{rjl} Observed lights in morning Sky, very High maybe 7 or 8 miles High, moving very Slow assumed lights belong to some type of object."
1604,6/25/2018,6/21/2018,Sunnyvale, CA,"{td] The object moved very fast, it was very bright and many bright light arranged in square shape"
1605,10/7/2018,6/21/2018,Kenneth city, FL,{tjd} Looked up in the sky and saw a glowing orb next to the moon
1606,6/22/2018,6/21/2018,New Brighten, MN,I looked up and saw what I first though was a helicopter. Then lights of red shined about it.
1607,6/26/2018,6/21/2018,Greenfield Park, NY,{td} Hovering metallic object moving ahead of car on highway and shining a light
1608,6/21/2018,6/21/2018,McAlester, OK,{rjl} sitting in front yard partly cloudy skies clear visibility black dot traveling east to west
1609,6/24/2018,6/22/2018,Mesa, AZ,{td} Large circular pattern of lights in sky
1610,6/22/2018,6/22/2018,Phoenix, AZ,{rjl} Vertical disc with a cloud trail same pattern sand disc was stationary then moved horizontal
1611,6/23/2018,6/22/2018,Bakersfield, CA,{rjl} Light moving very fast. Too fast for a satellite or aircraft
1612,8/3/2018,6/22/2018,Farmington , MO,{rjl} Seen through binoculars traveling high over houses a triangle shaped craft with lights. Was seen by a grandfather and his grandchild ( drawing included)
1613,9/1/2018,6/22/2018,Fillmore, NY,{td} Very big eyes like the mantis but head and body where like the grey alien broad shoulders long arms greenish grey color smooth but brow ridge stuck out. No mouth
1614,6/23/2018,6/22/2018,Andrews, TX,{rjl} Daughter and I observed cross-like UFO moving fast through eastern and northern sky with directional changes
1615,7/27/2018,6/22/2018,San Antonio, TX,{cak} White color changing cylinder stops & changes directions to chase passenger plane at breakneck speed
1616,6/26/2018,6/22/2018,Campbellsport, WI,{td} Large ball of light
1617,11/25/2018,6/22/2018,Neenah, WI,{tjd} Glowing Blue Rectangle heading SE
1618,6/24/2018,6/23/2018,Los Angeles, CA,{td} Looked like a twinkling metallic star. Would get bright then disappear. a Bunch of people saw it. I am including a
1619,6/27/2018,6/23/2018,Oakdale, CA,{td} Large ball of flame first move at a high rate of speed then stopped and started hovering
1620,7/6/2018,6/23/2018,Rancho Cordova, CA,{dr}observed group of lights while traveling E on Hwy 50
1621,7/10/2018,6/23/2018,Redwood City, CA,"{jpg} I took a long exposure photo; over 30 seconds, it appeared, went in a line, then disappeared."
1622,6/24/2018,6/23/2018,Grand Ledge, MI,{td} I was observing fireworks at our town and also was viewing the waxing gibbous moon with my 10x binoculars. A white light moved slowly and hovered above the fireworks.
1623,7/6/2018,6/23/2018,Oceanport, NJ,{dr}2 flying one lower then the other
1624,6/25/2018,6/23/2018,Totowa, NJ,{td} I observed several red lights coming the exact same direction and disappearing same way
1625,6/23/2018,6/23/2018,North Ridgeville, OH,{td} Tall green Alien was standing near power line tower thought it was a deer run up power tower to small craft
1626,6/23/2018,6/23/2018,Yankton, SD,"{rjl} Appeared on security camera at 12:15 a.m., hovering then moved up, showed up again at 12:55 a.m., closer, brighter,"
1627,6/23/2018,6/23/2018,Round Rock, TX,"{td} Looked like plane but way too fast, stopped, disappeared, reappeared same spot going new direction."
1628,6/23/2018,6/23/2018,Abrams, WI,{rjl} We were outside in the sunshine enjoying the weather. I happened to look up and saw a white oblong shape moving slow in the sky my daughter kept following it with her eyes ran across the yard by the time I was by her it was gone.
1629,6/26/2018,6/24/2018,Los Angeles, CA,{td} Two different objects passed in front of the moon. Each going a different direction
1630,6/27/2018,6/24/2018,Cedar Falls, IA,{td} Nightly viewing of very faint red dots that move in various paths then disappear.
1631,6/28/2018,6/24/2018,Hays , KS,{td} Captured in photo taken while taking photo shots of storms while driving. Object appears to be in motion in photo while remaining objects appear very clear.
1632,9/5/2018,6/24/2018,Allen Park, MI,{jpg} Son asked me to look at a green hovering light in sky. Observed. Questioned if Star/Planet. Started recording. Hey
1633,6/26/2018,6/25/2018,San Jose, CA,"{td} Was a Brite light, in shape of circle looked like a portal opening and closed. With a loud 3 second delay of a boom"
1634,7/1/2018,6/25/2018,Warner robins, GA,"{dr}Two different events caught on camera only few nights apart, only seen in pictures and not with my eye"
1635,7/3/2018,6/25/2018,Pleasant hope, MO,{dr}2 cigar shaped tubes crossed went different directions
1636,6/27/2018,6/25/2018,Rochester, NY,"{td} Observed a tiny star like object move a short distance, then fade to an almost invisible dot, only to brighten and fade 3 more times in different portions of the same patch of sky."
1637,6/27/2018,6/26/2018,Pleasanton, CA,{td} White stationary object with minor red and green lights viewed from building. Began making abrupt movements from spot to spot with extreme acceleration and deceleration. Continued observation until obscured by trees.
1638,6/27/2018,6/26/2018,Atlanta , GA,{td} Noticed an object my pictures of a lightning storm
1639,6/27/2018,6/26/2018,Fridley, MN,"{td} Was out the other night and saw 2 red light in the sky, one made movements, one flashed brightly, then descended. A helicopter then showed up."
1640,10/28/2018,6/26/2018,Nixon, MT,"{tjd} Was on my porch, and witnessed them."
1641,7/6/2018,6/26/2018,Harrisburg, NC,{dr}I was taking a photo of the moon and upon inspection of shot noticed three objects in the sky.
1642,6/27/2018,6/26/2018,McMinnville, OR,{td} Just getting home and put solar lights in.. roommate greeted me front porch. I immediately spotted ufo with her and observed
1643,6/27/2018,6/26/2018,Madison , WI,{td} I looked to south east an saw a triangular object hovering an then began to ascend an descend briefly an then continued North West.
1644,7/1/2018,6/27/2018,Citrus heights, CA,{dr}Watch for about an hour changes colors flashed bright light in middle hanging legs changed colors
1645,6/28/2018,6/27/2018,Mesquite, NV,"{td} Flew by to the south, heading west to east. Was dark out, Andy I noticed what could of been windows with a amber lights glowing. With white flashing lights."
1646,6/27/2018,6/27/2018,Staten island, NY,{td} Flew straight but kind of wobbled like a balloon. Bright light.
1647,6/27/2018,6/27/2018,Mannford, OK,{td} Ufo triangle
1648,6/29/2018,6/27/2018,Portland, OR,"{td} In a area of no cloud cover, orb hovered, then transformed into a disc-like object slowly moved then vanished"
1649,6/28/2018,6/27/2018,Gaston, SC,{td} Orange/red orb moving extremely slow from SW hovered then moves E disappears before our eyes
1650,6/28/2018,6/27/2018,Blaine, WA,{td} Triangle towing a white object
1651,7/9/2018,6/28/2018,Birmingham, AL,{jpg} Pointed my phone skyward and randomly snapped 3 pictures.
1652,7/19/2018,6/28/2018,BUCKEYE, AZ,{td} Vertical Donut/Ringed light object w/ extreme velocity & low altitude & zero sound.
1653,12/27/2018,6/28/2018,Del Mar, CA,{tjd} Took pictures at San Diego county fair and the pictures caught some interesting entities in the sky.
1654,7/4/2018,6/28/2018,Del Mar, CA,"{dr}I was taking pictures of the full moon and in two pictures green & blue entities appear, I took more pictures to try and debunk it but the lights were gone in a split second"
1655,10/2/2018,6/28/2018,Napa, CA,"{jpg} Orb pulsating blue lite, moving erratically around sky. I have a 30 second video"
1656,8/5/2018,6/28/2018,Palmdale, CA,"{jpg} Four or Five white glowing objects, not moving, then disappeared one by one"
1657,6/30/2018,6/28/2018,Indianapolis, IN,"{td} Observed object appear, go slightly to the right and then zip off to the west at great speed."
1658,6/29/2018,6/28/2018,Holden beach, NC,{td} Holden Beach NC. UFO with amber lights split into 2 then three back to one and disappeared
1659,6/29/2018,6/28/2018,Plattsmouth, NE,"{td} I have a glass metal type globe size of a marble jaw breaker size that's magnetic fields each side of the round object, how's that possible, each side has a positive and negative very magnetized come see it not metal not glass"
1660,6/30/2018,6/28/2018,Yonkers, NY,{td} DOTS IN THE NIGHT SKY
1661,6/28/2018,6/28/2018,Decatur, TX,{td} white cigar stationary object that vanished and reappeared
1662,7/12/2018,6/28/2018,Gillette, WY,{jpg} Orb reflecting light in sunset.
1663,7/2/2018,6/29/2018,Carolina Beach, NC,{dr}orange sphere with 5 to 7 white lights in haphazard vertical pattern seen over ocean hovering and then ascended and flew off quickly towards the north
1664,7/3/2018,6/29/2018,Meredith, NH,{dr}White light slowly blinking coming toward me from west then turning o my left and now it was one white and one red light blinking slowly changed directions twice more
1665,6/30/2018,6/29/2018,Bensalem, PA,{td} Bright orb appeared traveling then immediately dipped at 90 degree angle and disappeared
1666,6/30/2018,6/29/2018,Bradford, PA,{td} I was taking pics of a tree carving and I was looking at the pictures today and noticed a orb above a tree in only one pic
1667,7/13/2018,6/30/2018,Newbury Park, CA,"{jpg} Multiple orbs seen over Newbury Park, CA"
1668,9/11/2018,6/30/2018,Chicago, IL,"{cak} It was white, round and had flashing lights around it randomly. It moved slowly headed northwest from southeast. I will attach the video I took."
1669,7/2/2018,6/30/2018,Dennis, MA,{dr}Silent
1670,7/1/2018,6/30/2018,Las Vegas, NV,{dr}I have video from my cell phone. (10 min) using 8x zoom. but viewing from my telescope showed me a crazy landscape of light
1671,7/19/2018,6/30/2018,Wallowa, OR,"{td} White, balloon-like object that did not move, then moved very slowly."
1672,6/30/2018,6/30/2018,Kingston, PA,{td} Two objects fly toward each other and hover before changing direction.
1673,7/1/2018,6/30/2018,Alice, TX,{dr}Flying in straight path before stopping then continuing In different direction.
1674,7/1/2018,6/30/2018,Roanoke, VA,"{td} Object observed overhead. Air traffic not uncommon in area. This caught my eye because it was obviously a wingless craft, flying in a straight line, without any noticeable emission. Or noise."
1675,7/2/2018,6/30/2018,Goldendale, WA,{dr}Happened to look up SE of the sky to see a white stationary dot right above Columbia river gorge between OR and WA. Did not move an inch for over an hour then clouds rolled in and it was gone. Did take a pic and video.
1676,7/1/2018,7/1/2018,North Hollywood, CA,{dr}2 silver UFOs over North Hollywood
1677,11/11/2018,7/1/2018,Sanford, FL,{cak} Did not see one this time
1678,7/2/2018,7/1/2018,Brunswick, GA,"{dr}Bulbous at front, Strait/ kind of curved at back, very small pointy wings, the whole ship itself was short and stubby"
1679,7/2/2018,7/1/2018,West Fargo, ND,{d}Metal Orb Floated away from me into storm cloud
1680,7/6/2018,7/1/2018,Deming, NM,"{dr}Looking out passenger seat window. Saw object come out from behind a hill. Very clear, open skyline."
1681,7/4/2018,7/1/2018,Macedon, NY,{dr}Orb like object moving in the sky
1682,7/2/2018,7/1/2018,Danville, OH,"{dr}Outside, saw what I thought was a meteorite, the brightest I'd seen. It stopped, changed directions, hovered, then disappeared"
1683,8/3/2018,7/1/2018,Drexel Hill, PA,Fist time I noticed it was July smoking cigarettes out back window 7th floor of apartment. Now its everyday
1684,7/6/2018,7/1/2018,Lubbock, TX,{dr}Bright light hovering then moved away very slow changing colors. Looked very different with binoculars diamond shaped with ring
1685,7/5/2018,7/1/2018,Vernal, UT,"{dr}Had my camera out, happened to catch it straight above me when shooting."
1686,7/1/2018,7/1/2018,Henrico, VA,{dr}Light near moon. Used camcorder on 500x zoom. Numerous light changes.
1687,7/1/2018,7/1/2018,Virginia Beach, VA,"{dr}I saw a camera flash outside my front window, I looked out and saw what appeared to be a stationary firefly then it moved around in two circles. This in the middle of the night and there were no other objects or"
1688,7/17/2018,7/2/2018,Gustine, CA,{td} Noticed a triangular stealth like craft that appeared to be moving the skin and was semi invisible made a whir sound
1689,7/3/2018,7/2/2018,Jensen Beach, FL,"{dr}first view of whatever it was I noticed 4 lights 2 red and 2 green, like on a giant wing, moving setting, like on a jet angled slightly backwards, as it moved south it the turned right to the south west and became 3 red lights in a triangle pattern."
1690,7/2/2018,7/2/2018,Lake worth, FL,{dr}Steady red circle lights in a barbell formation with 1 external flashing green light.
1691,7/12/2018,7/2/2018,Pembroke Pines, FL,{jpg} Thought it was the seven flames of the throne of God And I've been seeing ultramagnetic energy at the 22 33 44 55 and see the numbers on the clock
1692,9/7/2018,7/2/2018,Carmel, IN,{jpg} Bright glowing object traveled in a straight light approximately 200 ft overhead
1693,7/3/2018,7/2/2018,Bay City, MI,{dr}First observed lingering off to the west. Then flew due east over us till out of sight.
1694,7/2/2018,7/2/2018,Chesterfield, MI,{dr}Unidentified object hovering in Chesterfield Michigan on July 2nd 2018
1695,7/7/2018,7/2/2018,Leesville, MO,"{dr}One bright light separating into three lights, then back to one and disappeared."
1696,7/2/2018,7/2/2018,Blossvale, NY,{dr}5 pattern light beam
1697,7/2/2018,7/2/2018,Bethlehem, PA,"{dr}saw huge object from afar (assumed vehicle) taking up whole road, got closer and recognized saucer shape and forbidden startled badly"
1698,7/14/2018,7/2/2018,Erie, PA,{jpg} blinking and hovering light appeared over bayfront tower and then floated over Presque isle.
1699,7/3/2018,7/2/2018,Winnie, TX,{dr}Saw an airplane and told my son to look out window to see the plane and as I did that I saw some object in the sky just sitting there
1700,7/5/2018,7/2/2018,Vernal, UT,{dr}Made sudden movements so I took pictures
1701,7/3/2018,7/3/2018,Forest falls, CA,{dr}Hiking in Forest Falls CA took selfie with moon in the background and got this image next to moon.
1702,7/11/2018,7/3/2018,West Palm Beach, FL,{jpg} Taking pictures of birds and notice those 2 objects when I look on my computer
1703,7/13/2018,7/3/2018,Laporte, IN,{jpg} No noise very reflective saw from about a mile away recorded from 1/4 mile or less very slow moving
1704,7/16/2018,7/3/2018,Inver Grove Heights, MN,{td} Completely silent 5 witness avid drone pilot not a drone
1705,7/3/2018,7/3/2018,Concord, NC,{dr}Orb of light that appeared.
1706,7/3/2018,7/3/2018,Derry, NH,{dr}Object observed low space orbit
1707,7/4/2018,7/3/2018,Yardville, NJ,"{dr}Won first sighted there were five, then 3, then two. I witnessed the last 2 seem to dissolve upward. Event lasted approximately 4 to 5 minutes"
1708,7/5/2018,7/3/2018,Orchard Park, NY,{dr}Vertical lights solid lights traveling horizontally across night sky.
1709,7/5/2018,7/4/2018,Madison, AL,{dr]observed white glowing ORB from my Doorbell Camera from my phone app
1710,7/7/2018,7/4/2018,Pell city, AL,{dr}extreme bright light no other could make that light
1711,7/6/2018,7/4/2018,Glendale, AZ,{dr}Thought it was a helicopter and then it did a large circle very quickly and changed direction 180'
1712,7/9/2018,7/4/2018,Los Angeles, CA,{jpg} Four hovering objects in the sky
1713,7/5/2018,7/4/2018,San Francisco, CA,{dr}star like object came from right hovered and returned right during fireworks
1714,7/5/2018,7/4/2018,Tustin, CA,"{dr}red to green light hovering for 3 minutes disappeared then re-appeared twice, last time three objects"
1715,7/5/2018,7/4/2018,Melbourne, FL,Fire orange orb with internal chevron structure came directly overhead and ascended steadily until out of sight
1716,7/4/2018,7/4/2018,Stuart, FL,"I think 4th of July fireworks sent then entity out of the area, not a plane or anything we know"
1717,7/5/2018,7/4/2018,McDonough , GA,"{dr}3 lights hovering over our neighborhood, stationary then 2 took off in a direct path into the dark like they shrunk until disappeared. Then showed back up."
1718,7/4/2018,7/4/2018,Pratt, KS,{dr}Looking at Venus and observed stationary red light to the NW above the tree tops. After a few seconds the light flashed red and green as it moved rapidly north and out of sight.
1719,7/16/2018,7/4/2018,Owensboro, KY,"{td} I have been observing bright orbs hovering in the sky, this is what they look like up close. You decide what they are."
1720,7/5/2018,7/4/2018,Detroit, MI,{dr}Saw an horizontally elongated triangle/spear shaped object that produced a bright star like glint on the south-facing (apex) end in the eastern sky between 19:15 and 19:30 4July2018. No sound.
1721,7/8/2018,7/4/2018,Farmington, MI,{jpg} Three successions of red in color objects flying in apparent formation.
1722,7/15/2018,7/4/2018,Franconia, NH,{td} Came up over a large mountain
1723,7/7/2018,7/4/2018,Las Vegas, NV,{dr}The object seems to be hovering and follow 65 degrees flight path.
1724,7/5/2018,7/4/2018,New York, NY,{dr}this was almost a perfect green rectangle except for a fuzz on either end at times
1725,7/5/2018,7/4/2018,Salineville, OH,"{dr}Similar to jet lights, but bobbed vertical and horizontal very quickly and jerky. It made no sound and was visible for 20 minutes."
1726,7/5/2018,7/4/2018,Westlake, OH,"{dr}pulsing reddish light in the sky, identical to the one I saw in 2012, pulsed and then got smaller and smaller before just disappearing. Airplanes never do that."
1727,7/5/2018,7/4/2018,Plano, TX,"{dr}It was red, went up, stopped and hovered for a few minutes, then vanished into a small green light, then disappeared."
1728,8/9/2018,7/4/2018,Canyonville, UT,"{jpg} Circle of light with random blinking lights moving slowly across sky, then up into the stars"
1729,7/4/2018,7/4/2018,Richmond , VA,{dr}Orbs in triangular formation spread into larger triangles a then one darted away
1730,7/4/2018,7/4/2018,Rice Lake, WI,"{dr}Bright Star flew in from south, arced to the east, increased speed"
1731,8/9/2018,7/5/2018,Seaside, OR,"{jpg} While taking sunset pictures, I noticed a perfect UFO cloud. I took 2 pictures and then went for my 300 mm zoom. While changing lenses the UFO suddenly left up and out to the west creating a black hole and emitted strange beams of light backward."
1732,8/17/2018,7/5/2018,Aledo, TX,{cak} Trail Camera Catches Anomalous Lights
1733,7/5/2018,7/5/2018,Amarillo , TX,{dr}Observation of lights
1734,7/6/2018,7/5/2018,Lorton, VA,{dr}Was driving home down gunston rd. an abnormal amount of animals. OUT. UFO followed me  the next disappeared
1735,7/9/2018,7/5/2018,Roanoke, VA,{jpg} Only observed UFO when checking photos taken
1736,7/12/2018,7/5/2018,Gays Mills, WI,{jpg} Saw what appeared to be star structure as large as full moon over tree line on bluff-it went to right got half as small and dimmer
1737,7/6/2018,7/6/2018,Norman, AR,{dr}Pulsating light active in southern sky
1738,11/11/2018,7/6/2018,Anaheim, CA,{cak} Hidden in the clouds just west of Disneyland
1739,9/7/2018,7/6/2018,St. Augustine, FL,{jpg} flying object IN my house seem to be searching for something
1740,7/7/2018,7/6/2018,Rockford , MI,{dr}Bonfire at our home and we noticed about 8 of them almost communicating and hovering
1741,7/6/2018,7/6/2018,Babylon, NY,"{dr}Total of five objects hovering, forming straight lines, circles, and both increasing and decreasing in brightness"
1742,9/14/2018,7/6/2018,Utica, NY,{cak} PROOF OF ALIEN LANDING!! UFO HITS US WITH A BEAM OF LIGHT!!! WHILE Creating A WORMHOLE! Ufos over NY Utica NY VIDEO CLOSE UP
1743,7/13/2018,7/6/2018,Brookhaven , PA,{jpg} Watering my tree very bright reflection caught my eye that's when I saw the first one then two more joined it
1744,7/7/2018,7/6/2018,East Stroudsburg, PA,{dr}Ball of light passing airplanes.
1745,7/7/2018,7/6/2018,Knoxville, TN,{dr}I took 3 consecutive pics in my yard last night. The 2nd pic had a beam of light that hit my pool water.
1746,7/9/2018,7/7/2018,Akron, CO,"{jpg} Bright light looked like 3 stars vertical and attached, pitch black sky photos reveal an amazing sight!"
1747,9/8/2018,7/7/2018,Gainesville, FL,{jpg} Several sightings over a few months.
1748,7/10/2018,7/7/2018,Orlando, FL,{jpg} Three orb/sphere like objects flying over a lake in Orlando. One seemed to crash
1749,7/26/2018,7/7/2018,Orlando, FL,{cak} UFO flew past the aircraft I was traveling on from Dublin Ireland to Orlando Florida maybe 15 minutes from landing at mock the sighting occurred
1750,7/17/2018,7/7/2018,Winter Garden, FL,"{td} While driving to Winter Garden Village, stopped in traffic, I noticed a pulsating light that changed colors hovering above my vehicle."
1751,7/8/2018,7/7/2018,Farmington Hills, MI,{jpg} The UFO appeared during daylight hours. It appeared straight above me and move to 3 other locations and hovered in each location. Super blight pulsating light.
1752,8/5/2018,7/7/2018,Ottawa Lake, MI,{jpg} Translucent boomerang shaped caused air around it to be wavy like hot air above pavement.
1753,7/13/2018,7/7/2018,Rockford , MI,"{jpg}Gigantic bright pumpkin orange star shape hovered then slowly took off till it could seen amongst stars but it's color stood out. W/in a flash it was right over the house again huge as ever, then took the same path. Could be seen  w/ stars long after"
1754,7/8/2018,7/7/2018,Waynesville, MO,"{jpg} Yellow-orange light, observed with binoculars"
1755,7/9/2018,7/7/2018,Missoula, MT,"{jpg} Bright reddish-orange object in the sky, the characteristics where those of a commercial airliner...except it's very unusual color."
1756,7/7/2018,7/7/2018,Stanhope , NJ,"{dr}I looked up in the sky , and a bright light caught my eye."
1757,7/7/2018,7/7/2018,Salem, NY,{dr}Oval with slight disc ridge
1758,7/11/2018,7/7/2018,Celina, OH,"{jpg} Red lights, pic sent from my daughter, same night my husband and I saw 2 in Hamilton Ohio"
1759,7/7/2018,7/7/2018,Crestline , OH,{dr}Driving home westbound though it was bright star to low crossed road headed north w Bucyrus Ohio pulled in driveway to film moving 70 mph was catching it at times
1760,7/8/2018,7/7/2018,Milwaukie, OR,{jpg} Bright pulsating triangle to spherical brighter and bigger. Bright arms. shrink and disappear.
1761,7/10/2018,7/7/2018,Wernersville, PA,{jpg} Observed object flying across sky at high altitude on straight line path
1762,11/20/2018,7/7/2018,Gig Harbor, WA,{rjl} I witnessed several Unexplainable objects and beings all of which I only noticed as I slow down the video that I took it is the most incredible video ever seen or ever recorded in human history
1763,7/7/2018,7/7/2018,Racine, WI,{dr}At least 75 or More fast moving orbs flying in front if the sun
1764,7/12/2018,7/8/2018,Orlando, FL,{jpg} White light blinking randomly moving staggering across sky.
1765,7/8/2018,7/8/2018,Chicago, IL,{jpg} White green bright lights traveling south
1766,7/8/2018,7/8/2018,Wood Dale, IL,"{jpg} Green fireball almost parallel to horizon. Slight arc, sputtering neon-green trail. Object emitting trail too small to observe."
1767,7/9/2018,7/8/2018,Anderson, IN,"{jpg} 19 identical objects & flight path over about 20 minutes. Rose above trees, turned, disappeared."
1768,7/9/2018,7/8/2018,Evansville, IN,{jpg} Object first looked like a huge star. I took some pics and downloaded them to find that it was string shaped and changing.
1769,7/9/2018,7/8/2018,Frankfort, IN,"{jpg} Just intriguing. I know what it's not, but not what it is"
1770,7/10/2018,7/8/2018,Pewee Valley, KY,{jpg} First noticed dark balloon shaped object in distant tree line followed by the appearance of 3 rotating cubes.
1771,7/8/2018,7/8/2018,Nisswa, MN,{jpg} Still like star then moved across clear sky in about 45 seconds
1772,7/8/2018,7/8/2018,Jameson, MO,{jpg} Single bright lite then 2 neon green lights.
1773,7/8/2018,7/8/2018,Vicksburg, MS,{jpg} Noticed an object as far as the stars flying stopping then short burst of light then moving backwards
1774,7/8/2018,7/8/2018,Hooksett, NH,{jpg} Was flying in a perpendicular pattern from the airplane that was in the vicinity.. Was going about 2 times the speed of the aircraft.
1775,7/9/2018,7/8/2018,Manasquan, NJ,"{jpg} Something that didn't look like a plane was flying towards us, then absorbed shooting star"
1776,7/9/2018,7/8/2018,Philadelphia, PA,{jpg} Watering my tree looked up Notice something I've never seen then noticed two more meat up with it flying in at the pattern
1777,7/9/2018,7/8/2018,Reading, PA,"{jpg} Intense, large bright light with unexplained behavior."
1778,7/8/2018,7/8/2018,Temple , PA,{jpg} Star looking. Changed direction abruptly. Moved across sky quickly. Pulsating light that disappeared then gradually became bright again.
1779,11/22/2018,7/8/2018,Charles Town, WV,{rjl} The object appeared to be hovering and stationary at a good distance away. We lost sight of it once we took the exit ramp.
1780,11/22/2018,7/8/2018,Charlestown , WV,{rjl} The object appeared to have reflection from the sun on its surface. It was stationary in the air.
1781,11/22/2018,7/8/2018,Charlestown , WV,{rjl} The object appeared to have reflection from the sun on its surface. It also had black mark on center of it.
1782,7/11/2018,7/9/2018,Beaumont, CA,{jpg} One glowing orb that exploded the light off itself and then the metal dim orb was left. And one huge think back in the distance looking like the millennium falcon. The orb was bigger than a house or and the ship must have been a small sky scrapper
1783,7/9/2018,7/9/2018,Gainesville, GA,{jpg} We thought it was an air craft until it got closer and stopped flying
1784,7/9/2018,7/9/2018,Coeur d'Alene, ID,{jpg} Dogs started going wild as UFO was soaring around!
1785,7/14/2018,7/9/2018,Jerome, ID,{jpg} Long slimy vertical cloud. No other clouds any where. Didn't move for 20 minutes. Have picture and witness
1786,7/10/2018,7/9/2018,Detroit, MI,{jpg} Red pulsing light flew slowly pass me
1787,7/10/2018,7/9/2018,Peck, MI,{jpg} Saw flashes in patterns multiple times in multiple spot over hours
1788,7/9/2018,7/9/2018,Auxvasse, MO,{jpg} object moved in a steady path S-N. No noise. No blinking
1789,7/9/2018,7/9/2018,Mint Hill, NC,"{jpg} I followed this orange Orb in my car for 15 miles, then it followed me back to my home where it disappeared behind the trees"
1790,7/9/2018,7/9/2018,Delanco, NJ,{jpg} Glowing solid glow amber oval light with no sound traveling aboveboard tree line
1791,7/9/2018,7/9/2018,Hackettstown , NJ,{jpg} Witnessed many orbs in sunlight moving in various directions.
1792,7/26/2018,7/9/2018,Carson City, NV,"{cak} UFO from 35,000 ft"
1793,7/10/2018,7/9/2018,Jamestown, NY,{jpg} My wife and I witnessed 2 Glowing orange orbs moving rapidly over our neighbors house. I snapped 3 photos
1794,7/9/2018,7/9/2018,Syracuse , NY,{jpg} I was getting of highway exit and saw a bright streak of light cross the sky and was pulsating
1795,7/16/2018,7/9/2018,North Myrtle Beach, SC,{td} HUGE Hovering Orange Lights Over Ocean
1796,8/18/2018,7/9/2018,Amarillo, TX,{cak} They following me
1797,11/1/2018,7/9/2018,San Antonio, TX,{tjd} Saw meteorites falling it was the tips that were burning white as it was falling then just as it was going to hit the ground .
1798,7/10/2018,7/9/2018,Richmond, VA,"{jpg} UFO Disc Daytime Sighting While Exiting I-295 W onto I-95 S Outside Richmond, VA"
1799,7/9/2018,7/9/2018,Oceana, WV,{jpg} Cigar shaped way bigger than airliner with red lights
1800,7/21/2018,7/10/2018,Mesa, AZ,{td} I recorded spacewalk slowed down
1801,7/11/2018,7/10/2018,Yucca Valley, CA,"{jpg} Heard a loud hum and loud jet engine from inside the house, went outside to investigate and saw a craft, very dimly lit with blue lights flying approximately 400 mph, with a jet plane following directly behind it possibly 100 ft. on a straight path."
1802,7/10/2018,7/10/2018,Deland, FL,{jpg} diamond object in sky with a definite pattern of black dots.
1803,8/21/2018,7/10/2018,Alpena, MI,{rjl} glowing pulsating elliptical craft top orangish bottom whitish pulsating high/low colors in sync.
1804,8/16/2018,7/10/2018,Saint Louis, MO,{cak} I took a picture and days later I looked back at it and to my surprise I saw two Ufos in the sky above some trees. It might be drowns you tell me...
1805,7/11/2018,7/10/2018,Springfield, MO,"{jpg} Flashing lights, hovering in sky, too big to be jet or drone by observation, not moving"
1806,7/11/2018,7/10/2018,Carolina Beach, NC,"{jpg} On the evening of 7/10/18, at Carolina Beach, NC, 5 adults saw 10-12 red circular lights that changed position and shapes over a 45 minutes."
1807,8/2/2018,7/10/2018,Ocean city, NJ,{rjl} Round w very bright lights surrounding w dimmer lights in center.
1808,7/11/2018,7/10/2018,Reno, NV,{jpg} It was hovering over downtown reno a min or two then slowly moved towered our direction. It had 3-4 bright orange lights. It passed right over over apt complex and dis not make a noise. It was huge
1809,10/20/2018,7/10/2018,Niagara Falls, NY,{rjl} I was in my small yard for a length of time I don't know for how long I was out there or what I was doing can't recall I looked up and saw a bell shaped object hovering about 4 to 5' off the ground it made a light hum or whirling sound
1810,7/10/2018,7/10/2018,McAlester, OK,{jpg} 3 black circles
1811,7/11/2018,7/10/2018,Coos Bay, OR,"{jpg} Took photo of sky over my shoulder and when I looked at pic it was there, but nothing In the sky after"
1812,7/13/2018,7/10/2018,Sun Prairie, WI,{jpg} Driving Eastbound I-94 around 2PM Large black object hovering turned silvery partially disappearing
1813,7/12/2018,7/11/2018,Fort Collins, CO,{jpg} White object hovering at 30-40 degrees to the north of Ft. Collins. Multiple witnesses.
1814,7/14/2018,7/11/2018,Tallahassee , FL,{jpg} circle of lights stationary in the sky for several hours
1815,7/13/2018,7/11/2018,Urbandale, ID,{jpg} I saw a fast moving star like object move across the sky horizontally in a straight line from NE to SE
1816,7/15/2018,7/11/2018,Perham, MN,{td} Appeared as star in daylight remained for two hours till sun set.
1817,7/13/2018,7/11/2018,Las Vegas, NV,"{jpg} Silent triangle, rainbow-aura edge, abrupt change, vanished"
1818,7/12/2018,7/11/2018,Las Vegas, NV,"{jpg} Spinning, bouncing, solid Cross amid thunderheads"
1819,8/29/2018,7/11/2018,Huron , OH,{td} large cone shaped metal looking object. 2 triangular Bright Lights came out of it and then all disappeared.
